,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed
3,0.8531970691425421,0.43591843167190397,0.7386423434485178,0.308263695450325,0.7345132743362832,0.7389979043627357,0.19506462984723855,0.9699924981245311,Class 1,Myelocyte,0.8632127129835874,0.4164623779631629,0.7362192266312259,0.26902841108383024,0.769307923771314,0.7339908132937044,0.16301806588735387,0.9792718096611391,Class 1,Myelocyte,0.8573460239253233,0.3821326108560693,0.7716565349544073,0.2767749699157641,0.6647398843930635,0.7791785278568524,0.17477203647416414,0.9706180344478217,Class 1,Myelocyte,0.8592850434549275,0.29793781366325284,0.7108370506428758,0.203757225433526,0.7621621621621621,0.7082184225041368,0.11759799833194329,0.9831546707503829,Class 1,Myelocyte
3,0.7640481856404817,0.09283873214833623,0.8417821434835994,0.06625258799171843,0.2191780821917808,0.8581458145814581,0.03902439024390244,0.9766441303011678,Class 2,Myelocyte,0.7425956270864743,0.07808025322118933,0.8344408581735333,0.08467459762071379,0.290167865707434,0.8491939677587104,0.04956984842277755,0.9778443113772455,Class 2,Myelocyte,0.7989057889560208,0.08735043530852832,0.8085106382978723,0.05263157894736842,0.3181818181818182,0.8168469860896446,0.028688524590163935,0.9860074626865671,Class 2,Myelocyte,0.7698209035017376,0.0707687432506971,0.8790343741800053,0.06109979633401222,0.21428571428571427,0.8914728682170543,0.035629453681710214,0.9837758112094396,Class 2,Myelocyte
4,0.8478539412516868,0.974730143565218,0.6328714260656025,0.7468247248094835,0.6049382716049383,0.8712374581939799,0.9756637168141593,0.20536066219944818,Class 0,Metamyelocyte,0.8356797336586572,0.9775394928061044,0.6179988608315929,0.7389273356401385,0.593730451101689,0.864922206506365,0.9781289362189397,0.17303338992642897,Class 0,Metamyelocyte,0.856953945673641,0.983201433301434,0.6238601823708206,0.7452393206381883,0.5995859213250517,0.8940092165898618,0.9843643779741672,0.16709732988802756,Class 0,Metamyelocyte,0.8394891814993715,0.9843452130572985,0.6397271057465233,0.763561219218185,0.6234533183352081,0.8666666666666667,0.9848956019546868,0.14166666666666666,Class 0,Metamyelocyte
4,0.8538537471107013,0.4394536936674617,0.7402210138572181,0.31466913465987967,0.7522123893805309,0.7391884168413031,0.1989467524868344,0.9719438877755511,Class 1,Metamyelocyte,0.8631024795543074,0.41540379076012934,0.738181127776723,0.26661939372451693,0.7542627883650953,0.7370980815995677,0.16192937123169682,0.9780406919422784,Class 1,Metamyelocyte,0.8556676312331486,0.3835807533161414,0.7914133738601824,0.2952503209242619,0.6647398843930635,0.8003253355022367,0.18976897689768976,0.9713721618953604,Class 1,Metamyelocyte,0.8542299607936673,0.3024098170599136,0.7173970086591446,0.20044543429844097,0.7297297297297297,0.7167677881963597,0.11617900172117039,0.981124952812382,Class 1,Metamyelocyte
4,0.7649297806492978,0.09682179625846157,0.8417821434835994,0.07392197125256673,0.2465753424657534,0.8574257425742574,0.043478260869565216,0.9774266365688488,Class 2,Metamyelocyte,0.7403146125845033,0.07935236914664502,0.834504145307259,0.07954945441745864,0.2709832134292566,0.8497789911596464,0.04661716171617162,0.9772744262540181,Class 2,Metamyelocyte,0.8023745960376563,0.07799374910433081,0.7868541033434651,0.06343906510851419,0.4318181818181818,0.7928902627511591,0.03423423423423423,0.9879634087626384,Class 2,Metamyelocyte,0.7664986443655248,0.06566303424024836,0.8819207557071634,0.038461538461538464,0.12857142857142856,0.8960171077252072,0.022613065326633167,0.9821271608555523,Class 2,Metamyelocyte
5,0.8488501419258263,0.9743646136139308,0.6372566216453254,0.7502415458937198,0.6086615716245346,0.8812709030100334,0.9776518728360089,0.20879556259904913,Class 0,NRBC,0.8369948156678063,0.9779922868428923,0.6168596924245301,0.7379674515235457,0.5925488288037812,0.8642149929278642,0.9779740736491912,0.1725014116318464,Class 0,NRBC,0.84875824102432,0.9819334616048532,0.6143617021276596,0.7377938517179023,0.591304347826087,0.8709677419354839,0.9807692307692307,0.16071428571428573,Class 0,NRBC,0.8385749575420719,0.9836392426159536,0.5969561794804513,0.7273695420660277,0.5762092238470191,0.8862745098039215,0.9860442733397498,0.13040969417195614,Class 0,NRBC
5,0.8551831195828283,0.4371867515572387,0.7367128573934397,0.3098850574712644,0.745575221238938,0.7359497047056582,0.1955890887986071,0.9710910005027652,Class 1,NRBC,0.8610091961916553,0.4139934408158181,0.7376748307069173,0.2667610118521139,0.7562688064192578,0.7364225884895974,0.16194158075601375,0.9781965006729475,Class 1,NRBC,0.8518571626701019,0.4067824838625123,0.7769756838905775,0.2779827798277983,0.653179190751445,0.7856852379015861,0.1765625,0.9698795180722891,Class 1,NRBC,0.8554657801762049,0.3239124201854654,0.6609813697192338,0.18331226295828065,0.7837837837837838,0.6547159404302262,0.10379384395132427,0.9834299917149959,Class 1,NRBC
5,0.7674142756741427,0.0940148033893399,0.8458165234169444,0.07180570221752904,0.2328767123287671,0.861926192619262,0.04244694132334582,0.9771428571428571,Class 2,NRBC,0.7461088851227909,0.08215781768084468,0.8351370166445161,0.0843585237258348,0.28776978417266186,0.8499739989599584,0.04942339373970346,0.9777910715621028,Class 2,NRBC,0.7838625825488267,0.08277080260110664,0.7933130699088146,0.06206896551724138,0.4090909090909091,0.7998454404945904,0.033582089552238806,0.9875954198473282,Class 2,NRBC,0.7628785275136517,0.06322541438670912,0.8997638415114143,0.059113300492610835,0.17142857142857143,0.9133921411387329,0.03571428571428571,0.9833093525179856,Class 2,NRBC
6,0.8475157573386237,0.9738483064786033,0.6390106998772145,0.7515092972711905,0.6098373505780913,0.8879598662207357,0.9789241899968544,0.2105471847739889,Class 0,Aty_Lym,0.8361351679955453,0.9778813043787444,0.6198341877096386,0.7404398738279393,0.595537638145548,0.867043847241867,0.9785290086797624,0.17402413058907026,Class 0,Aty_Lym,0.8542614801881483,0.9831596618794332,0.6352583586626139,0.7547266223811957,0.6115942028985507,0.8986175115207373,0.9853235490326885,0.17210944395410416,Class 0,Aty_Lym,0.837890116676592,0.9835258209722797,0.6184728417738127,0.7458041958041958,0.5998312710911136,0.8784313725490196,0.9856746765249538,0.13600485731633272,Class 0,Aty_Lym
6,0.8553947064506178,0.4422213563516247,0.7439045781441852,0.31902985074626866,0.7566371681415929,0.7428081539340827,0.20212765957446807,0.9725617360937889,Class 1,Aty_Lym,0.8627950861501013,0.41366156169845403,0.7398265932535916,0.26863547411492616,0.757271815446339,0.7386517157524993,0.16327854671280276,0.978348394023441,Class 1,Aty_Lym,0.8569934204185639,0.40851338972482126,0.7959726443768997,0.3211125158027813,0.7341040462427746,0.8003253355022367,0.20550161812297735,0.9771598808341608,Class 1,Aty_Lym,0.8520728671307821,0.2880600982230984,0.6901075833114668,0.18043025676613464,0.7027027027027027,0.6894649751792609,0.1035031847133758,0.9784735812133072,Class 1,Aty_Lym
6,0.7713278177132781,0.10014160114573786,0.8421329591299772,0.0778688524590164,0.2602739726027397,0.8574257425742574,0.04578313253012048,0.9778279614042291,Class 2,Aty_Lym,0.7413334542974045,0.08409863352627212,0.8348205809758876,0.080338266384778,0.2733812949640288,0.8500390015600624,0.04708798017348203,0.9773542600896861,Class 2,Aty_Lym,0.8034811015877477,0.08318790762008772,0.8020516717325228,0.06797853309481217,0.4318181818181818,0.8083462132921174,0.036893203883495145,0.9881908360888049,Class 2,Aty_Lym,0.7658723794249054,0.06102737638578863,0.8853319338756231,0.052060737527114966,0.17142857142857143,0.8986901897888265,0.030690537084398978,0.9830409356725146,Class 2,Aty_Lym
7,0.8466607943258506,0.9746828362593029,0.6316435713032801,0.7459472538107912,0.6041544189692338,0.8662207357859532,0.9747075561176098,0.2040977147360126,Class 0,Band,0.8357992329433819,0.9778324947588839,0.6159736725523701,0.7369516212935668,0.5908111489539167,0.871994342291372,0.9791498675267827,0.1731741573033708,Class 0,Band,0.8588201620058964,0.9833370759416254,0.6299392097264438,0.7508951406649617,0.6078674948240166,0.8755760368663594,0.9819397993311036,0.16710642040457344,Class 0,Band,0.8388782284567371,0.9841004672917517,0.6216216216216216,0.7486929243638899,0.6040494938132733,0.8666666666666667,0.9844179651695693,0.1356660527931246,Class 0,Band
7,0.854066598441844,0.43651071601636077,0.7344325556919838,0.30486685032139577,0.7345132743362832,0.7344256048771195,0.19235225955967555,0.969811320754717,Class 1,Band,0.8643518369211931,0.41303409590297047,0.7321055629390545,0.26548672566371684,0.7673019057171514,0.7297352067008916,0.1605119597146454,0.9789759855006797,Class 1,Band,0.8627126492982016,0.39936732750647924,0.7815349544072948,0.2892459826946848,0.6763005780346821,0.7889385929239529,0.18396226415094338,0.9719438877755511,Class 1,Band,0.8537529255675973,0.30489846479536775,0.7019155077407505,0.19318181818181818,0.7351351351351352,0.7002206287920574,0.11120196238757155,0.9810664605873262,Class 1,Band
7,0.7628484766284848,0.09071734103133161,0.8438870373618663,0.0709812108559499,0.2328767123287671,0.85994599459946,0.04187192118226601,0.9770914297402332,Class 2,Band,0.7364337858886056,0.07544766004074017,0.8390608189355104,0.0822807650667629,0.2733812949640288,0.8543941757670307,0.048428207306711976,0.977467093031903,Class 2,Band,0.7988267528453,0.07628310775806205,0.8058510638297872,0.062385321100917435,0.38636363636363635,0.8129829984544049,0.033932135728542916,0.987329892069451,Class 2,Band,0.7688700500248214,0.06988628915663221,0.882445552348465,0.058823529411764705,0.2,0.8952151831061214,0.034482758620689655,0.983553597650514,Class 2,Band
8,0.8484254458489564,0.974672795690288,0.6407647781091037,0.7531935406121957,0.6123848716441309,0.882943143812709,0.9780907668231612,0.21069433359936154,Class 0,MN_MALS_LY,0.8364206685490958,0.9780681227606125,0.6174292766280615,0.7384136050889264,0.5930353791617432,0.8656294200848657,0.9782160055033249,0.17290577765221077,Class 0,MN_MALS_LY,0.8530268769499384,0.9824612819708579,0.6185410334346505,0.7407024793388429,0.5937888198757764,0.8940092165898618,0.9842141386410432,0.1651063829787234,Class 0,MN_MALS_LY,0.8372648271907188,0.9841995017361975,0.6058777223825768,0.7352837504406062,0.5866141732283464,0.8745098039215686,0.9848914069877243,0.13171884229178973,Class 0,MN_MALS_LY
8,0.8544328713265232,0.4360868022362574,0.7405718295035959,0.31685912240184755,0.7588495575221239,0.7389979043627357,0.20023350846468185,0.9726680040120361,Class 1,MN_MALS_LY,0.8631540392590904,0.4171916839684054,0.7324852857414088,0.26422976501305484,0.7612838515546639,0.7305457984328559,0.15985678180286436,0.9784673844205193,Class 1,MN_MALS_LY,0.8571509166515829,0.3781034706864906,0.7872340425531915,0.2947103274559194,0.6763005780346821,0.7950386335908906,0.18840579710144928,0.9721531576330183,Class 1,MN_MALS_LY,0.8548322177665808,0.30349719264445313,0.6937811598005773,0.19572708476912473,0.7675675675675676,0.6900165471594043,0.11216429699842022,0.9831041257367387,Class 1,MN_MALS_LY
8,0.7630321936303219,0.0973623246755908,0.8482722329415892,0.07880724174653887,0.2534246575342466,0.8639063906390639,0.04665825977301387,0.9777913610431948,Class 2,MN_MALS_LY,0.7389706019895472,0.0766153427327131,0.8406429972786532,0.08369723435225619,0.27577937649880097,0.8559542381695268,0.049335049335049334,0.9775798069784707,Class 2,MN_MALS_LY,0.7806835745398343,0.07174933412738986,0.7849544072948328,0.05351170568561873,0.36363636363636365,0.7921174652241113,0.02888086642599278,0.9865255052935515,Class 2,MN_MALS_LY,0.763088555390079,0.06011895594811208,0.8774599842561007,0.060362173038229376,0.21428571428571427,0.8898690189788826,0.0351288056206089,0.9837470449172577,Class 2,MN_MALS_LY
9,0.8469960289606022,0.9744110124347662,0.6355025434134363,0.7491549975857074,0.6080736821477563,0.8695652173913043,0.9754794089908834,0.20634920634920634,Class 0,BA,0.8374586557544632,0.978243296399756,0.6167964052908044,0.7377311907133884,0.59192326405783,0.8698727015558698,0.9788505747126437,0.17321504013519223,Class 0,BA,0.8498249229565598,0.9823009967200537,0.6136018237082067,0.7370054305663305,0.5900621118012422,0.8755760368663594,0.981404958677686,0.16101694915254236,Class 0,BA,0.8347074262775976,0.9835116158484665,0.608764103909735,0.7374537770734284,0.5888638920134983,0.8862745098039215,0.9863400847856807,0.1338862559241706,Class 0,BA
